org,drug_code,drug_name,drug_class,period,omega,term,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,amplitude,0.011741745144235637,0.0011373805845926108,0.022346109703878663,0.005410489500464756,-2.1701816708501203,0.029995273614659108,0.04499291042198866
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,amplitude,0.032839286604155186,0.018211619313830828,0.047466953894479545,0.007463232694940079,4.400142397599309,1.0826473236408939e-5,4.059927463653352e-5
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,amplitude,0.04707723789866935,0.026921149434343192,0.0672333263629955,0.01028390757346299,4.5777577795573885,4.704152784228783e-6,2.3520763921143918e-5
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,amplitude,0.0281508165350771,0.01977770166152325,0.036523931408630944,0.004272075884863146,6.589493560922292,4.434635014532595e-11,6.651952521798892e-10
E. coli,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,amplitude,0.011500852934343461,-0.004625092179176516,0.027626798047863436,0.00822767420254626,1.3978255155976198,0.16216836047474903,0.18711733900932578
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,amplitude,0.03192791062975229,-3.7497680291594115e-4,0.06423079806242052,0.016481367865669623,1.937212426175956,0.05273220189607728,0.07190754804010538
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,amplitude,0.05154465739818109,0.02212293717410943,0.08096637762225276,0.015011357584193611,3.43371058274274,5.962690958337944e-4,0.001490672739584486
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,amplitude,0.03369335673021287,0.00876611658025898,0.058620596880166756,0.012718213368499006,2.6492209050106017,0.008073869164039793,0.01345644860673299
K. pneumoniae,TET,Tetracycline,Tetracyclines,6,1.0471975511965976,amplitude,0.02233404820218886,-0.007979131683903247,0.05264722808828097,0.015466192300061946,-1.444056026776507,0.14873749393703814,0.18592186742129768
S. aureus,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,amplitude,0.06377186115492696,0.033920255282541584,0.09362346702731233,0.015230691026902048,4.187062887841819,2.830998483927338e-5,8.492995451782014e-5
S. aureus,ERY,Erythromycin,Macrolides,12,0.5235987755982988,amplitude,0.04935902520369879,0.013020828589795662,0.08569722181760192,0.018540236912787274,2.6622650743829315,0.007764328538563,0.01345644860673299
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,amplitude,0.03263594270695961,0.022139455733483734,0.043132429680435486,0.005355448904301727,6.093969579421254,1.1129591744754033e-9,8.347193808565526e-9
S. aureus,OXA,Oxacillin,Penicillins,12,0.5235987755982988,amplitude,0.03267672499769471,0.00987881934835369,0.05547463064703573,0.011631798251992382,2.8092582324575304,0.0049676333257602096,0.01064492855520045
S. aureus,PEN,Penicillin,Penicillins,12,0.5235987755982988,amplitude,0.01294053125660864,-0.007630010227610102,0.03351107274082738,0.010495367081475249,1.232975574475066,0.21759199772441196,0.21759199772441196
S. aureus,TET,Tetracycline,Tetracyclines,12,0.5235987755982988,amplitude,0.013264521243438947,-0.006738093454818621,0.033267135941696516,0.01020560319272989,1.299729275471745,0.1937001487070234,0.2075358736146679
