org,drug_code,drug_name,drug_class,period,omega,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,amplitude,NA,0.011741745144235637,0.0011373805845926108,0.022346109703878663,0.005410489500464756,-2.1701816708501203,0.029995273614659108
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,phase,NA,2.7077074524738975,1.844376280763758,3.5710386241840366,0.44048318158904226,-0.6635725488352533,0.5069653582310043
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2013,0.0012571426467112114,-0.0179606865064819,0.020474971799904325,0.009805195046838053,0.128211895908854,0.8979815266206956
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2014,-0.007169941177175212,-0.017860669771785326,0.003520787417434901,0.005454553593299273,-1.3144872544626258,0.18868509585885054
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2015,0.004218720079924358,-0.007038741754790598,0.015476181914639314,0.005743708518887276,0.7344941105649364,0.46264925432505777
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2016,-0.0021783059972592046,-0.013066318643724371,0.008709706649205963,0.0055552105713923446,-0.3921194290054138,0.6949707517519348
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2017,-0.005587780135105254,-0.016345350234450558,0.00516978996424005,0.005488657028496262,-1.0180596284472432,0.30865191644542406
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2018,0.029703684962294658,0.019654476126608686,0.03975289379798063,0.005127241579413118,5.793307083785712,6.920588457905936e-9
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2019,-0.01437411721592756,-0.02293214602272369,-0.005816088409131427,0.004366421461976227,-3.2919674248353217,9.952127501844843e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2007,0.01786034419833955,0.009191592527988821,0.02652909586869028,0.0044229137569510146,4.038139828132615,5.39141576177201e-5
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2008,-0.004265555983261109,-0.012601155218556271,0.004070043252034054,0.0042529349013784475,-1.0029676169928137,0.31587874910182806
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2009,-0.0011430909634669666,-0.00945237525144829,0.007166193324514356,0.0042395086611406625,-0.26962817034543146,0.7874468447258125
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2010,0.00455542201835225,-0.0035661303480940855,0.012676974384798586,0.004143725308479189,1.0993542475005806,0.27161604704745457
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2011,0.029243072688633465,0.021427647877178622,0.03705849750008831,0.003987534910387089,7.333621735187442,2.255861118399007e-13
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2012,-0.007570432178167154,-0.01539458836856019,2.537240122258812e-4,0.003991989777418862,-1.8964057024870535,0.05790910345323081
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2013,0.023755294012436975,0.01614193393028336,0.03136865409459059,0.0038844387663277626,6.115502249220562,9.658428543485004e-10
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2014,0.013608907703527297,0.005968718962320783,0.02124909644473381,0.0038981271092077964,3.4911400583581766,4.811573101302959e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2015,-0.012081931861568465,-0.01975558839198651,-0.00440827533115042,0.0039152028256370375,-3.085901905887246,0.00202987429805133
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2016,-0.005298334809371937,-0.013037755623006362,0.0024410860042624882,0.003948756647919038,-1.3417729381130932,0.17967247040934226
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2013,2.1568897721777267,1.989291270927738,2.3244882734277152,0.08551101069814769,25.22353267220181,5.676886172558132e-140
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2014,2.25807154548951,2.179671084977622,2.336472006001398,0.04000096998225508,56.45041973960177,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2015,2.0946059313847813,2.0102918676464507,2.178919995123112,0.043018169927299336,48.69119106937053,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2016,2.084531246990434,2.0026906775299924,2.1663718164508756,0.041756159861094114,49.92152664241223,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2017,2.1378617632334533,2.057763905635045,2.2179596208318615,0.04086700481754251,52.31266085631404,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2018,1.9713911422971218,1.8932663068196893,2.049515977774554,0.03986034238061062,49.45745632270513,0
