org,drug_code,drug_name,drug_class,period,month,seasonal_deviate,sem
S. aureus,CIP,Ciprofloxacin,Quinolones,12,1,0.05053231411063472,0.02983780171888791
S. aureus,CIP,Ciprofloxacin,Quinolones,12,2,0.0639740485996028,0.03151255310394525
S. aureus,CIP,Ciprofloxacin,Quinolones,12,3,0.0856773646322174,0.029838380658138135
S. aureus,CIP,Ciprofloxacin,Quinolones,12,4,-0.004806848820836478,0.030159961946656138
S. aureus,CIP,Ciprofloxacin,Quinolones,12,5,0.002666414087387149,0.028859949381897693
S. aureus,CIP,Ciprofloxacin,Quinolones,12,6,-0.057980535378734786,0.028074324459369963
S. aureus,CIP,Ciprofloxacin,Quinolones,12,7,-0.03336251846882781,0.027098501472557178
S. aureus,CIP,Ciprofloxacin,Quinolones,12,8,-0.06583015555081094,0.026480298133280185
S. aureus,CIP,Ciprofloxacin,Quinolones,12,9,-0.04597240517285708,0.027113481406039697
S. aureus,CIP,Ciprofloxacin,Quinolones,12,10,-0.03257539627037528,0.027477186026238165
S. aureus,CIP,Ciprofloxacin,Quinolones,12,11,-0.014400467056191654,0.02851376078283196
S. aureus,CIP,Ciprofloxacin,Quinolones,12,12,0.047921693434984626,0.02884238780443496
S. aureus,ERY,Erythromycin,Macrolides,12,1,0.01734196918881174,0.03990993096471683
S. aureus,ERY,Erythromycin,Macrolides,12,2,0.048147163244688714,0.04199938895818028
S. aureus,ERY,Erythromycin,Macrolides,12,3,0.08956417204783787,0.03965546011650876
S. aureus,ERY,Erythromycin,Macrolides,12,4,0.019389475203703117,0.040872164545920374
S. aureus,ERY,Erythromycin,Macrolides,12,5,-0.01782423863462746,0.039031209068536875
S. aureus,ERY,Erythromycin,Macrolides,12,6,-0.11540732626479429,0.03854641584242425
S. aureus,ERY,Erythromycin,Macrolides,12,7,-0.00583683324015493,0.03711557688297336
S. aureus,ERY,Erythromycin,Macrolides,12,8,-0.05531524621126208,0.036655014357256384
S. aureus,ERY,Erythromycin,Macrolides,12,9,0.005203166054298532,0.03725713894797653
S. aureus,ERY,Erythromycin,Macrolides,12,10,-0.020420851669017956,0.037687534861865095
S. aureus,ERY,Erythromycin,Macrolides,12,11,3.8774666842062897e-4,0.03907690835606813
S. aureus,ERY,Erythromycin,Macrolides,12,12,0.03137934940973331,0.03897967520428228
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,1,0.015514696487026039,0.00963962520636889
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,2,0.029950697536183492,0.010255774436701512
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,3,0.03604170670382407,0.009661380510612494
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,4,0.04465029578952212,0.009823465449920608
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,5,-0.011858750592880322,0.009769712476684506
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,6,-0.013447249463546937,0.00931879574170584
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,7,-0.03755564827216998,0.009096613566198649
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,8,-0.047266070463250084,0.008980245898554055
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,9,-0.015571021704974609,0.008978876066444071
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,10,-0.002658939287212287,0.009235338583014728
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,11,0.011150464706600006,0.009684712443714914
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,12,-0.007596428727346279,0.009446076218595532
S. aureus,OXA,Oxacillin,Penicillins,12,1,0.03861289267404425,0.027908522441667118
S. aureus,OXA,Oxacillin,Penicillins,12,2,0.011057545698020194,0.029808899117520875
S. aureus,OXA,Oxacillin,Penicillins,12,3,0.0340184172669599,0.028009076070043656
S. aureus,OXA,Oxacillin,Penicillins,12,4,0.004883869251316227,0.028782849913445145
S. aureus,OXA,Oxacillin,Penicillins,12,5,-0.0305456223699014,0.027039778541129808
