organism,drug_name,month,seasonal_deviate,sem
S. aureus,Ciprofloxacin,1,0.052418871615096736,0.029784438110837728
S. aureus,Ciprofloxacin,2,0.060079937753654784,0.03146401648474919
S. aureus,Ciprofloxacin,3,0.08560747265831166,0.02981843656554809
S. aureus,Ciprofloxacin,4,-0.004444918979026874,0.03013432776913455
S. aureus,Ciprofloxacin,5,0.0013578911613852562,0.028816245797042086
S. aureus,Ciprofloxacin,6,-0.05946298466279551,0.02805170323212685
S. aureus,Ciprofloxacin,7,-0.0333064888935831,0.027076817080189622
S. aureus,Ciprofloxacin,8,-0.06565672227692745,0.026492687824073456
S. aureus,Ciprofloxacin,9,-0.043195331695055454,0.02710369254122605
S. aureus,Ciprofloxacin,10,-0.03499875826978525,0.027390140735245
S. aureus,Ciprofloxacin,11,-0.01088780798147686,0.028479259270005854
S. aureus,Ciprofloxacin,12,0.04820024266654555,0.02880130683517469
S. aureus,Erythromycin,1,0.018950008052248928,0.03976215998485237
S. aureus,Erythromycin,2,0.0381850449642788,0.04192002497911358
S. aureus,Erythromycin,3,0.08833008256882388,0.039582656860421825
S. aureus,Erythromycin,4,0.024429199607821316,0.040804626675295504
S. aureus,Erythromycin,5,-0.019805451915416283,0.03894663622951655
S. aureus,Erythromycin,6,-0.11575138954085384,0.03850879269365065
S. aureus,Erythromycin,7,-0.005032516262901838,0.03706674969420875
S. aureus,Erythromycin,8,-0.055676940716952096,0.036640167517879345
S. aureus,Erythromycin,9,0.00904031357990551,0.037173236556810124
S. aureus,Erythromycin,10,-0.02075950907331225,0.0375600668117675
S. aureus,Erythromycin,11,0.00809147005444261,0.039000548200513276
S. aureus,Erythromycin,12,0.026641757104237232,0.03893941450434361
S. aureus,Nitrofurantoin,1,0.01581506467442566,0.009602788134889764
S. aureus,Nitrofurantoin,2,0.02950957283536235,0.010232774347880768
S. aureus,Nitrofurantoin,3,0.03671960256439874,0.009654446470063464
S. aureus,Nitrofurantoin,4,0.04485352136715529,0.009818253850702374
S. aureus,Nitrofurantoin,5,-0.010880940892489359,0.009742109404174103
S. aureus,Nitrofurantoin,6,-0.012775053595090886,0.009305857397443136
S. aureus,Nitrofurantoin,7,-0.037925633976933576,0.009084644877646106
S. aureus,Nitrofurantoin,8,-0.04729913587710822,0.008971406171535424
S. aureus,Nitrofurantoin,9,-0.01600273067799651,0.008971742320973284
S. aureus,Nitrofurantoin,10,-0.003463169325111378,0.00921447671443626
S. aureus,Nitrofurantoin,11,0.010742113419152398,0.009671590146540107
S. aureus,Nitrofurantoin,12,-0.007962807834982813,0.009430807593761354
S. aureus,Oxacillin,1,0.03816147599391235,0.027831450846386618
S. aureus,Oxacillin,2,0.0076402611460175554,0.029743677366813544
S. aureus,Oxacillin,3,0.035879882639751344,0.02797115027389208
S. aureus,Oxacillin,4,0.0037575314163641508,0.028757897246696966
S. aureus,Oxacillin,5,-0.031542619148196914,0.026985064214998966
S. aureus,Oxacillin,6,-0.05233690043412601,0.026984086179374967
S. aureus,Oxacillin,7,0.007440835515011469,0.02588217264557678
S. aureus,Oxacillin,8,-0.046110993185651705,0.025206909550808197
S. aureus,Oxacillin,9,0.010107891678477499,0.02562630847340175
S. aureus,Oxacillin,10,-0.022808670527227317,0.025785277090226478
S. aureus,Oxacillin,11,0.004143670054798474,0.026789178143089495
S. aureus,Oxacillin,12,0.042280472480507404,0.026768312149021957
S. aureus,Penicillin,1,0.029778875097287667,0.01875813858697187
S. aureus,Penicillin,2,-0.02315250738924125,0.02071282232082043
S. aureus,Penicillin,3,0.031872304510495636,0.01862692194590467
S. aureus,Penicillin,4,-0.020928770028855702,0.020188615073438505
S. aureus,Penicillin,5,0.0053984222130313364,0.019367500084745175
S. aureus,Penicillin,6,-0.02877580583676359,0.019425610370767572
S. aureus,Penicillin,7,-0.005332466115541027,0.0182995686812826
S. aureus,Penicillin,8,0.009491589889114459,0.018133718501289368
S. aureus,Penicillin,9,0.020426340996668246,0.01823460631854776
S. aureus,Penicillin,10,-0.0337727783795613,0.019436993382028568
S. aureus,Penicillin,11,-0.0018159818280985048,0.019529846621048338
S. aureus,Penicillin,12,0.014764790326775669,0.019452254458599983
S. aureus,Tetracycline,1,0.0021820277014779886,0.016060384743674223
S. aureus,Tetracycline,2,-0.005065905920830092,0.0167065343094919
S. aureus,Tetracycline,3,-0.020478210385664324,0.01538844390551782
S. aureus,Tetracycline,4,-0.011740234482998244,0.016206906055440614
S. aureus,Tetracycline,5,0.009300405298227959,0.01569875633298043
S. aureus,Tetracycline,6,-0.016903050122844515,0.015010935460907489
S. aureus,Tetracycline,7,-0.007585708058489265,0.014691153392138768
S. aureus,Tetracycline,8,0.0035764771207394555,0.01491756888459153
S. aureus,Tetracycline,9,0.015528107690104391,0.015380197503906666
S. aureus,Tetracycline,10,0.015708395012686577,0.01558626420182299
S. aureus,Tetracycline,11,0.011487168720506119,0.015890984197966123
S. aureus,Tetracycline,12,0.00439110351204208,0.015595710363580992
