organism,age_group,month,num_isolates
E. coli,00-19,1,668
E. coli,00-19,2,628
E. coli,00-19,3,635
E. coli,00-19,4,617
E. coli,00-19,5,596
E. coli,00-19,6,625
E. coli,00-19,7,614
E. coli,00-19,8,633
E. coli,00-19,9,644
E. coli,00-19,10,687
E. coli,00-19,11,657
E. coli,00-19,12,625
E. coli,20-39,1,2497
E. coli,20-39,2,2283
E. coli,20-39,3,2448
E. coli,20-39,4,2525
E. coli,20-39,5,2475
E. coli,20-39,6,2666
E. coli,20-39,7,2820
E. coli,20-39,8,2878
E. coli,20-39,9,2889
E. coli,20-39,10,2802
E. coli,20-39,11,2511
E. coli,20-39,12,2453
E. coli,40-64,1,3314
E. coli,40-64,2,2955
E. coli,40-64,3,3381
E. coli,40-64,4,3236
E. coli,40-64,5,3517
E. coli,40-64,6,3500
E. coli,40-64,7,3593
E. coli,40-64,8,3837
E. coli,40-64,9,3718
E. coli,40-64,10,3799
E. coli,40-64,11,3367
E. coli,40-64,12,3374
E. coli,65+,1,3867
E. coli,65+,2,3444
E. coli,65+,3,4028
E. coli,65+,4,3937
E. coli,65+,5,4138
E. coli,65+,6,4196
E. coli,65+,7,4372
E. coli,65+,8,4471
E. coli,65+,9,4410
E. coli,65+,10,4718
E. coli,65+,11,4160
E. coli,65+,12,4199
K. pneumoniae,00-19,1,52
K. pneumoniae,00-19,2,53
K. pneumoniae,00-19,3,53
K. pneumoniae,00-19,4,40
K. pneumoniae,00-19,5,50
K. pneumoniae,00-19,6,58
K. pneumoniae,00-19,7,68
K. pneumoniae,00-19,8,66
K. pneumoniae,00-19,9,82
K. pneumoniae,00-19,10,59
K. pneumoniae,00-19,11,67
K. pneumoniae,00-19,12,60
K. pneumoniae,20-39,1,254
K. pneumoniae,20-39,2,179
K. pneumoniae,20-39,3,208
K. pneumoniae,20-39,4,205
K. pneumoniae,20-39,5,250
K. pneumoniae,20-39,6,253
K. pneumoniae,20-39,7,280
K. pneumoniae,20-39,8,325
K. pneumoniae,20-39,9,286
K. pneumoniae,20-39,10,263
K. pneumoniae,20-39,11,260
K. pneumoniae,20-39,12,240
K. pneumoniae,40-64,1,645
K. pneumoniae,40-64,2,583
K. pneumoniae,40-64,3,675
K. pneumoniae,40-64,4,636
K. pneumoniae,40-64,5,705
K. pneumoniae,40-64,6,808
K. pneumoniae,40-64,7,851
K. pneumoniae,40-64,8,959
K. pneumoniae,40-64,9,856
K. pneumoniae,40-64,10,818
K. pneumoniae,40-64,11,709
K. pneumoniae,40-64,12,732
K. pneumoniae,65+,1,1131
K. pneumoniae,65+,2,912
K. pneumoniae,65+,3,1044
K. pneumoniae,65+,4,1020
K. pneumoniae,65+,5,1084
K. pneumoniae,65+,6,1261
K. pneumoniae,65+,7,1338
K. pneumoniae,65+,8,1480
K. pneumoniae,65+,9,1434
K. pneumoniae,65+,10,1390
K. pneumoniae,65+,11,1207
K. pneumoniae,65+,12,1189
S. aureus,00-19,1,355
S. aureus,00-19,2,268
S. aureus,00-19,3,330
S. aureus,00-19,4,305
S. aureus,00-19,5,374
S. aureus,00-19,6,356
S. aureus,00-19,7,455
S. aureus,00-19,8,466
S. aureus,00-19,9,452
S. aureus,00-19,10,393
S. aureus,00-19,11,364
S. aureus,00-19,12,337
S. aureus,20-39,1,796
S. aureus,20-39,2,737
S. aureus,20-39,3,811
S. aureus,20-39,4,800
S. aureus,20-39,5,812
S. aureus,20-39,6,909
S. aureus,20-39,7,978
S. aureus,20-39,8,1050
S. aureus,20-39,9,961
S. aureus,20-39,10,937
S. aureus,20-39,11,855
S. aureus,20-39,12,850
S. aureus,40-64,1,1311
S. aureus,40-64,2,1245
S. aureus,40-64,3,1380
S. aureus,40-64,4,1305
S. aureus,40-64,5,1433
S. aureus,40-64,6,1455
S. aureus,40-64,7,1566
S. aureus,40-64,8,1609
S. aureus,40-64,9,1581
S. aureus,40-64,10,1521
S. aureus,40-64,11,1467
S. aureus,40-64,12,1439
S. aureus,65+,1,1299
S. aureus,65+,2,1124
S. aureus,65+,3,1261
S. aureus,65+,4,1166
S. aureus,65+,5,1289
S. aureus,65+,6,1275
S. aureus,65+,7,1323
S. aureus,65+,8,1303
S. aureus,65+,9,1291
S. aureus,65+,10,1323
S. aureus,65+,11,1197
S. aureus,65+,12,1260
