organism,sex,month,num_isolates
E. coli,F,1,8662
E. coli,F,2,7862
E. coli,F,3,8837
E. coli,F,4,8720
E. coli,F,5,9055
E. coli,F,6,9235
E. coli,F,7,9580
E. coli,F,8,10001
E. coli,F,9,9915
E. coli,F,10,10122
E. coli,F,11,9008
E. coli,F,12,8951
E. coli,M,1,1684
E. coli,M,2,1448
E. coli,M,3,1655
E. coli,M,4,1595
E. coli,M,5,1671
E. coli,M,6,1752
E. coli,M,7,1819
E. coli,M,8,1818
E. coli,M,9,1746
E. coli,M,10,1884
E. coli,M,11,1687
E. coli,M,12,1700
K. pneumoniae,F,1,1423
K. pneumoniae,F,2,1166
K. pneumoniae,F,3,1345
K. pneumoniae,F,4,1305
K. pneumoniae,F,5,1468
K. pneumoniae,F,6,1682
K. pneumoniae,F,7,1787
K. pneumoniae,F,8,1934
K. pneumoniae,F,9,1876
K. pneumoniae,F,10,1762
K. pneumoniae,F,11,1534
K. pneumoniae,F,12,1545
K. pneumoniae,M,1,659
K. pneumoniae,M,2,561
K. pneumoniae,M,3,635
K. pneumoniae,M,4,596
K. pneumoniae,M,5,621
K. pneumoniae,M,6,698
K. pneumoniae,M,7,750
K. pneumoniae,M,8,896
K. pneumoniae,M,9,782
K. pneumoniae,M,10,768
K. pneumoniae,M,11,709
K. pneumoniae,M,12,676
S. aureus,F,1,1682
S. aureus,F,2,1569
S. aureus,F,3,1682
S. aureus,F,4,1654
S. aureus,F,5,1725
S. aureus,F,6,1823
S. aureus,F,7,1952
S. aureus,F,8,2047
S. aureus,F,9,1955
S. aureus,F,10,1941
S. aureus,F,11,1759
S. aureus,F,12,1776
S. aureus,M,1,2079
S. aureus,M,2,1805
S. aureus,M,3,2100
S. aureus,M,4,1922
S. aureus,M,5,2183
S. aureus,M,6,2172
S. aureus,M,7,2370
S. aureus,M,8,2381
S. aureus,M,9,2330
S. aureus,M,10,2233
S. aureus,M,11,2124
S. aureus,M,12,2110
