drug_class,i,j,x,y,scale,amplitude,power,p.value,coi_raw,coi,sig
Macrolides,1,1,1,1,1.9098593171027443,0.09325290611728006,0.008696104499318248,0.93,-16.04310684568565,1,0
Macrolides,1,2,1,1.05,1.977210360468118,0.10533432734761844,0.011095320517775236,0.91,-16.04310684568565,1,0
Macrolides,1,3,1,1.0999999999999999,2.0469365332484086,0.11590853766087507,0.013434789102682492,0.9,-16.04310684568565,1,0
Macrolides,1,4,1,1.1500000000000001,2.119121594201547,0.12371549763066962,0.015305524354004224,0.9,-16.04310684568565,1,0
Macrolides,1,5,1,1.2000000000000002,2.193852255831683,0.12738077503867606,0.0162258618494538,0.89,-16.04310684568565,1,0
Macrolides,1,6,1,1.25,2.2712182885528214,0.12560981456843656,0.01577782551591702,0.89,-16.04310684568565,1,0
Macrolides,1,7,1,1.3,2.3513126285257804,0.11743956520446089,0.013792051475412823,0.9,-16.04310684568565,1,0
Macrolides,1,8,1,1.35,2.4342314892980115,0.10249761329721578,0.010505760731625588,0.93,-16.04310684568565,1,0
Macrolides,1,9,1,1.4,2.5200744773803887,0.08123802357902812,0.006599616475026731,0.96,-16.04310684568565,1,0
Macrolides,1,10,1,1.45,2.6089447118998073,0.05533219971167199,0.003061652324932354,0.97,-16.04310684568565,1,0
Macrolides,1,11,1,1.5,2.7009489484713187,0.030238887704868583,9.143903296276522e-4,0.98,-16.04310684568565,1,0
Macrolides,1,12,1,1.55,2.7961977074386084,0.030247920510572443,9.149366952139092e-4,0.97,-16.04310684568565,1,0
Macrolides,1,13,1,1.6,2.8948054066368654,0.05783845793388979,0.003345287216170338,0.97,-16.04310684568565,1,0
Macrolides,1,14,1,1.6500000000000001,2.996890498837522,0.08919364462213836,0.007955506240980308,0.91,-16.04310684568565,1,0
Macrolides,1,15,1,1.7000000000000002,3.102575614039975,0.1185494979888048,0.014053983473397634,0.87,-16.04310684568565,1,0
Macrolides,1,16,1,1.75,3.2119877067812097,0.14386027016180908,0.0206957773310287,0.83,-16.04310684568565,1,0
Macrolides,1,17,1,1.8,3.3252582086402898,0.16402935163103724,0.026905628196498457,0.78,-16.04310684568565,1,0
Macrolides,1,18,1,1.85,3.4425231861209054,0.17853279280721723,0.03187395810754475,0.74,-16.04310684568565,1,0
Macrolides,1,19,1,1.9,3.563923504101635,0.18729123463348765,0.03507800657053611,0.74,-16.04310684568565,1,0
Macrolides,1,20,1,1.9500000000000002,3.6896049950502747,0.19054797967285533,0.03630853255740689,0.76,-16.04310684568565,1,0
Macrolides,1,21,1,2,3.8197186342054885,0.18872934288655982,0.03561876486639267,0.79,-16.04310684568565,1,0
Macrolides,1,22,1,2.0500000000000003,3.954420720936236,0.18231505616446322,0.03323877970425138,0.8,-16.04310684568565,1,0
Macrolides,1,23,1,2.1,4.093873066496817,0.17175525560366875,0.029499867827481586,0.79,-16.04310684568565,1,0
Macrolides,1,24,1,2.15,4.238243188403094,0.1574512084052757,0.02479088302828156,0.84,-16.04310684568565,1,0
Macrolides,1,25,1,2.2,4.387704511663366,0.1397857551583338,0.01954005734518565,0.89,-16.04310684568565,1,0
Macrolides,1,26,1,2.25,4.542436577105643,0.11917187312480042,0.014201935344073527,0.91,-16.04310684568565,1,0
Macrolides,1,27,1,2.3,4.702625257051561,0.09610798277172997,0.009236744352451143,0.92,-16.04310684568565,1,0
Macrolides,1,28,1,2.35,4.868462978596023,0.07132787609999898,0.005087665908936805,0.95,-16.04310684568565,1,0
Macrolides,1,29,1,2.4000000000000004,5.040148954760778,0.04660916214936869,0.0021724139962661423,0.96,-16.04310684568565,1,0
Macrolides,1,30,1,2.45,5.217889423799615,0.03000395531195833,9.002373343619925e-4,0.99,-16.04310684568565,1,0
Macrolides,1,31,1,2.5,5.4018978969426374,0.04134290981091499,0.001709236191633451,0.99,-16.04310684568565,1,0
Macrolides,1,32,1,2.55,5.592395414877217,0.07144079224323922,0.0051037867963416705,0.93,-16.04310684568565,1,0
Macrolides,1,33,1,2.6,5.789610813273731,0.10800834864214218,0.011665803376402538,0.89,-16.04310684568565,1,0
Macrolides,1,34,1,2.65,5.993780997675044,0.14838368647362557,0.02201771841150321,0.8,-16.04310684568565,1,0
Macrolides,1,35,1,2.7,6.20515122807995,0.19164913181373527,0.036729389724958476,0.65,-16.04310684568565,1,0
Macrolides,1,36,1,2.75,6.423975413562419,0.2370365523664575,0.056186327157776335,0.47,-16.04310684568565,1,0
Macrolides,1,37,1,2.8,6.6505164172805795,0.28366638155108964,0.08046661602228837,0.36,-16.04310684568565,1,0
Macrolides,1,38,1,2.85,6.885046372241811,0.330590414708858,0.10929002229737471,0.27,-16.04310684568565,1,0
Macrolides,1,39,1,2.9000000000000004,7.127847008203271,0.3769399646873384,0.14208373697849191,0.17,-16.04310684568565,1,0
Macrolides,1,40,1,2.95,7.37920999010055,0.422081896342929,0.17815312722044302,0.07,-16.04310684568565,1,0
Macrolides,1,41,1,3,7.639437268410977,0.4657051714542641,0.21688130671924555,0.02,-16.04310684568565,1,1
Macrolides,1,42,1,3.0500000000000003,7.9088414418724735,0.5077907281301448,0.2578514235749426,0.02,-16.04310684568565,1,1
Macrolides,1,43,1,3.1,8.187746132993635,0.548466007689685,0.3008149615910616,0.01,-16.04310684568565,1,1
Macrolides,1,44,1,3.15,8.476486376806186,0.5877954711577694,0.34550351591358414,0.01,-16.04310684568565,1,1
Macrolides,1,45,1,3.2,8.775409023326732,0.6255854782609694,0.3913571906110058,0,-16.04310684568565,1,1
Macrolides,1,46,1,3.25,9.084873154211285,0.661271384181201,0.43727984353692156,0,-16.04310684568565,1,1
Macrolides,1,47,1,3.3000000000000003,9.405250514103123,0.6939147575508646,0.48151769074687517,0,-16.04310684568565,1,1
Macrolides,1,48,1,3.35,9.736925957192046,0.7222943678944617,0.52170915389206,0,-16.04310684568565,1,1
Macrolides,1,49,1,3.400000000000001,10.080297909521558,0.7450484225993683,0.555097152017807,0,-16.04310684568565,1,1
Macrolides,1,50,1,3.45,10.43577884759923,0.7608236484112724,0.5788526239818393,0,-16.04310684568565,1,1
Macrolides,1,51,1,3.5,10.803795793885275,0.7684019281705411,0.5904415232162054,0,-16.04310684568565,1,1
Macrolides,1,52,1,3.5500000000000003,11.184790829754435,0.7667959503704189,0.5879760295044741,0,-16.04310684568565,1,1
Macrolides,1,53,1,3.6,11.579221626547461,0.7553218731023892,0.5705111319869016,0,-16.04310684568565,1,1
Macrolides,1,54,1,3.6500000000000004,11.98756199535009,0.7336629472816325,0.5382613202139716,0,-16.04310684568565,1,1
Macrolides,1,55,1,3.7,12.4103024561599,0.7019319952361309,0.49270852593617576,0,-16.04310684568565,1,1
Macrolides,1,56,1,3.75,12.847950827124839,0.6607270321252224,0.4365602109810048,0,-16.04310684568565,1,1
Macrolides,1,57,1,3.8000000000000003,13.301032834561163,0.6111613973970758,0.3735182536683463,0,-16.04310684568565,1,1
Macrolides,1,58,1,3.85,13.770092744483621,0.5548451376378722,0.3078531267603894,0,-16.04310684568565,1,1
Macrolides,1,59,1,3.9000000000000004,14.255694016406544,0.4938009814029164,0.24383940923448338,0,-16.04310684568565,1,1
Macrolides,1,60,1,3.95,14.7584199802011,0.4303137682652312,0.18516993915862315,0,-16.04310684568565,1,1
Macrolides,1,61,1,4,15.278874536821954,0.3667319194901297,0.13449230077291496,0,-16.04310684568565,1,1
Macrolides,1,62,1,4.050000000000001,15.817682883744947,0.30525783763059144,0.09318234743490451,0.04,-16.04310684568565,1,1
Macrolides,1,63,1,4.1,16.37549226598727,0.24777374567284574,0.06139182904475204,0.12,-16.04310684568565,1,0
Macrolides,1,64,1,4.15,16.95297275361238,0.19574753891443322,0.038317098991057556,0.31,-16.04310684568565,1,0
Macrolides,1,65,1,4.2,17.550818046653465,0.150262368056606,0.02257877925397893,0.46,-16.04310684568565,1,0
Macrolides,2,1,2,1,1.9098593171027443,0.1283140989726383,0.01646450799516001,0.9,0.5665336287511625,1,0
Macrolides,2,2,2,1.05,1.977210360468118,0.14377541799052457,0.020671370818350052,0.88,0.5665336287511625,1,0
Macrolides,2,3,2,1.0999999999999999,2.0469365332484086,0.1569935342555612,0.024646969798052063,0.87,0.5665336287511625,1,0
Macrolides,2,4,2,1.1500000000000001,2.119121594201547,0.16660170380507955,0.027756127710755456,0.86,0.5665336287511625,1,0
Macrolides,2,5,2,1.2000000000000002,2.193852255831683,0.1712759438638511,0.029335448946453062,0.87,0.5665336287511625,1,0
Macrolides,2,6,2,1.25,2.2712182885528214,0.16997719069420264,0.02889224535629333,0.88,0.5665336287511625,1,0
Macrolides,2,7,2,1.3,2.3513126285257804,0.16227021589881585,0.026331622967848304,0.89,0.5665336287511625,1,0
Macrolides,2,8,2,1.35,2.4342314892980115,0.14871899108921363,0.02211733831059361,0.9,0.5665336287511625,1,0
Macrolides,2,9,2,1.4,2.5200744773803887,0.13139265025481625,0.01726402854098447,0.89,0.5665336287511625,1,0
Macrolides,2,10,2,1.45,2.6089447118998073,0.11451813850121192,0.013114404045782761,0.92,0.5665336287511625,1,0
Macrolides,2,11,2,1.5,2.7009489484713187,0.10467983546615743,0.010957867953221791,0.94,0.5665336287511625,1,0
