organism,drug_name,6,12
E. coli,Amoxicillin/Clavulanate,339247.4 (+0),339249.8 (+2.4)
E. coli,Ampicillin,522468.9 (+0),522474.6 (+5.8)
E. coli,Ciprofloxacin,498206.9 (+7.9),498199 (+0)
E. coli,Nitrofurantoin,199978.2 (+21.3),199956.9 (+0)
E. coli,Tetracycline,422473.8 (+0),422474 (+0.2)
K. pneumoniae,Amoxicillin/Clavulanate,64714.5 (+3.8),64710.6 (+0)
K. pneumoniae,Ciprofloxacin,89697.3 (+11.1),89686.2 (+0)
K. pneumoniae,Nitrofurantoin,66945.1 (+7.5),66937.6 (+0)
K. pneumoniae,Tetracycline,80426.2 (+0),80427.8 (+1.6)
S. aureus,Ciprofloxacin,189787.4 (+21.6),189765.8 (+0)
S. aureus,Erythromycin,216426.9 (+5.1),216421.7 (+0)
S. aureus,Nitrofurantoin,52484 (+15.6),52468.4 (+0)
S. aureus,Oxacillin,183142.1 (+7.5),183134.6 (+0)
S. aureus,Penicillin,125212.3 (+0),125212.5 (+0.2)
S. aureus,Tetracycline,131731.2 (+1.5),131729.7 (+0)
