organism,drug_name,period,amplitude (95% CI),amplitude p-value,phase (95% CI)
E. coli,Amoxicillin/Clavulanate,6 months,0.014 (0.001 to 0.028),0.04,2.7 (1.9 to 3.5)
E. coli,Ampicillin,6 months,0.033 (0.015 to 0.052),4e-4,4.5 (4.1 to 4.9)
E. coli,Ciprofloxacin,12 months,0.038 (0.016 to 0.06),9e-4,3.1 (2.5 to 3.7)
E. coli,Nitrofurantoin,12 months,0.031 (0.021 to 0.041),6e-10,2.5 (2 to 3)
E. coli,Tetracycline,12 months,0.017 (-0.006 to 0.039),0.1,4.5 (3.2 to 5.7)
K. pneumoniae,Amoxicillin/Clavulanate,12 months,0.04 (-0.007 to 0.088),0.1,3.2 (2 to 4.5)
K. pneumoniae,Ciprofloxacin,12 months,0.049 (0.005 to 0.093),0.03,2.3 (1.2 to 3.3)
K. pneumoniae,Nitrofurantoin,12 months,0.052 (0.01 to 0.093),0.02,11.9 (9.8 to 14.1)
K. pneumoniae,Tetracycline,6 months,0.03 (-0.017 to 0.076),0.2,2.3 (0.9 to 3.6)
S. aureus,Ciprofloxacin,12 months,0.041 (0.011 to 0.071),0.008,1.6 (0.1 to 3.1)
S. aureus,Erythromycin,12 months,0.039 (-0.006 to 0.085),0.09,1.3 (-0.8 to 3.4)
S. aureus,Nitrofurantoin,12 months,0.038 (0.024 to 0.052),4e-8,2.1 (1.5 to 2.7)
S. aureus,Oxacillin,12 months,0.022 (-0.007 to 0.051),0.1,0.7 (-1.6 to 3.1)
S. aureus,Penicillin,6 months,0.014 (-0.007 to 0.034),0.2,11.4 (8 to 14.7)
S. aureus,Tetracycline,12 months,0.02 (-0.005 to 0.045),0.1,10.1 (8.1 to 12.1)
