organism,drug_name,period_12m,period_6m
E. coli,Amoxicillin/Clavulanate,343849.1 (+4.2),343844.9 (+0)
E. coli,Ampicillin,526712.7 (+5),526707.7 (+0)
E. coli,Ciprofloxacin,503167.1 (+0),503174 (+6.9)
E. coli,Nitrofurantoin,199216.1 (+0),199237.5 (+21.3)
E. coli,Tetracycline,427780.6 (+0.5),427780.1 (+0)
K. pneumoniae,Amoxicillin/Clavulanate,65272.4 (+0),65275.9 (+3.6)
K. pneumoniae,Ciprofloxacin,89763.1 (+0),89774.1 (+11)
K. pneumoniae,Nitrofurantoin,66283 (+0),66289.3 (+6.3)
K. pneumoniae,Tetracycline,80847.4 (+2),80845.4 (+0)
S. aureus,Ciprofloxacin,188999.8 (+0),189021.3 (+21.5)
S. aureus,Erythromycin,215665.6 (+0),215671.3 (+5.7)
S. aureus,Nitrofurantoin,52311.1 (+0),52327.2 (+16.1)
S. aureus,Oxacillin,182474.7 (+0),182482.9 (+8.2)
S. aureus,Penicillin,125065.1 (+0),125065.4 (+0.3)
S. aureus,Tetracycline,131306 (+0),131307.7 (+1.7)
