organism,drug_code,drug_name,drug_class,period,omega,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,amplitude,NA,0.0117417318001744,0.0011373705948518609,0.02234609300549694,0.005410487789045305,-2.170179890979157,0.029995408400870505
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,phase,NA,2.707712906060732,1.8443801660238384,3.571045646097626,0.4404839817704572,-0.6635589624949927,0.5069740563766112
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2013,0.0012571431544202733,-0.01796071299383634,0.020474999302676888,0.009805208820082725,0.1282117675908576,0.8979816281653485
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2014,-0.00716994047892437,-0.0178606698613178,0.0035207889034690604,0.005454553995236924,-1.3144870295876385,0.18868517148571975
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2015,0.004218723373268196,-0.007038743519194929,0.01547619026573132,0.005743711099418454,0.7344943539544212,0.4626491060414708
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2016,-0.002178298906656702,-0.013066316102281535,0.008709718288968132,0.005555212892434824,-0.3921179887854781,0.6949718158451
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2017,-0.005587786836658818,-0.016345356857731183,0.005169783184413546,0.005488656988560354,-1.018060856837123,0.3086513327144539
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2018,0.029703682228384102,0.019654472916046134,0.03975289154072207,0.00512724182260738,5.793306275786062,6.9206217575408256e-9
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2019,-0.014374119593382185,-0.022932147634590453,-0.005816091552173917,0.004366421071362997,-3.291968263815483,9.95209781584423e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2007,0.017860341736167698,0.009191589533800788,0.026529093938534608,0.00442291402839283,4.03813902361961,5.3914342451611196e-5
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2008,-0.004265564508109221,-0.012601162894268707,0.004070033878050265,0.004252934468137999,-1.0029697236263204,0.3158777326458082
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2009,-0.0011430815840696021,-0.009452363041871747,0.007166199873732543,0.004239507217145161,-0.2696260498028686,0.7874484762727103
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2010,0.004555430969092422,-0.003566122357673715,0.012676984295858559,0.004143725798447275,1.0993562775798098,0.27161516190978663
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2011,0.02924306810116016,0.02142764269773392,0.0370584935045864,0.0039875352124188615,7.333620029256406,2.2558898333044976e-13
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2012,-0.007570438015334753,-0.015394595072657965,2.5371904198845906e-4,0.003991990219738305,-1.8964069545819262,0.05790893801224595
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2013,0.023755291338259602,0.01614193147023857,0.031368651206280636,0.0038844386570744396,6.1155017327911345,9.658459813012358e-10
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2014,0.013608900850755673,0.005968711756526421,0.021249089944984922,0.003898127289324748,3.4911381390814125,4.811607663429661e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2015,-0.01208193537470147,-0.019755591943596554,-0.004408278805806386,0.0039152028452685405,-3.0859027877194904,0.0020298682787059704
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2016,-0.0052983482368564845,-0.01303777056092588,0.00244107408721291,0.003948757418563286,-1.341776076683949,0.17967145245647398
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2013,2.1568897639249642,1.989291057587999,2.3244884702619295,0.08551111533628304,25.2235017101897,5.681302128648033e-140
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2014,2.258071541023052,2.1796710716408114,2.3364720104052923,0.040000974508028336,56.45041324105364,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2015,2.094605909023443,2.010291810307439,2.1789200077394466,0.043018187773378826,48.69117035003643,0
