organism,drug_code,drug_name,drug_class,period,omega,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,amplitude,NA,0.01448790674060849,0.0010018001938723008,0.027974013287344678,0.006880793041664479,-2.1055576955856,0.03524663781491554
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,phase,NA,2.636604357013298,1.7561809788865776,3.5170277351400188,0.449203855311316,-0.8089771240606434,0.4185312823226154
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,beta_age,,0.002785389856665095,0.0022267698185167014,0.0033440098948134883,0.00028501546077107403,9.772767586465546,1.5276914588117855e-22
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,beta_sex,,0.3200358057985984,0.29209450441906326,0.34797710717813357,0.014256027967826235,22.449156702054196,3.478946644794252e-111
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2013,-7.74413016143118e-4,-0.024574412864528397,0.023025586832242158,0.012143080197450895,-0.06377401808691709,0.9491503639002309
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2014,-0.0070037536972083906,-0.0203957973213969,0.006388289926980117,0.006832800872782991,-1.0250194360421587,0.30535785285889927
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2015,0.001121021467988202,-0.012823189326479353,0.015065232262455756,0.007114523993531368,0.1575680212769613,0.8747976962276387
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2016,-5.151654106022019e-4,-0.014484746693338876,0.013454415872134473,0.007127468358055022,-0.07227887725660598,0.9423801978608517
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2017,-0.010814383827929071,-0.024687282790445637,0.003058515134587495,0.0070781397372320235,-1.5278567857376242,0.12655299274766355
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2018,0.02005417867637651,0.006690489408622517,0.0334178679441305,0.006818334098567663,2.9412138487888586,0.0032704463370105278
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,BWH_2019,-0.01932201049965318,-0.030465603467329187,-0.008178417531977174,0.005685611090599239,-3.3984052359122443,6.782081869192848e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2007,0.018894314488436148,0.008431890572068943,0.02935673840480335,0.005338069474180888,3.539540760910653,4.011051766302479e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,slope,MGH_2008,-0.00413525652319777,-0.014412857221812828,0.006142344175417288,0.005243770181331628,-0.788603691656762,0.43034656482027445
