organism,drug_code,drug_name,drug_class,period,omega,AIC,month,seasonal_deviate,sem
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,1,-0.008303860844753784,0.01727269592209658
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,2,0.013260423313635647,0.01807378064649819
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,3,0.01112012693808058,0.01737646188721097
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,4,0.012739828331596634,0.018002952379421497
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,5,-0.0027901929854264058,0.01685425123542035
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,6,-0.022740610755899837,0.016554089441073276
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,7,-0.0017043991671976506,0.016546996940321988
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,8,0.012452372064294564,0.016362276690679918
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,9,0.008646098910076751,0.016376559764535174
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,10,-0.005898787242962015,0.0162133364354013
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,11,-0.016651659612649982,0.017007417421692653
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,12,0.002270416351089908,0.017629246386865544
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,1,-0.011806135495243108,0.017272696313149333
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,2,0.010338340794080967,0.01807374371790523
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,3,0.008790714436954014,0.0173764420307107
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,4,0.0110125486468042,0.01800297253033531
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,5,-0.00372925592397064,0.016854418494598247
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,6,-0.023138068563099273,0.016554078246496115
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,7,-0.0015525200613071622,0.01654700927337653
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,8,0.013156884811575622,0.016362234830002702
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,9,0.009913017189585845,0.016376527529587945
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,10,-0.004070796803685697,0.01621328898476076
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,11,-0.01426084514455755,0.017007414145029667
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,176658.87632403345,12,0.00523049230502723,0.017629278667866805
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,1,-0.02881858568136194,0.024446453658175275
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,2,-0.0010834320035838954,0.02565030822041404
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,3,-0.004557007575070511,0.02436008177619227
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,4,0.02981662570206694,0.02458515719140374
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,5,0.029994463279728167,0.02409475684069029
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,6,-0.026921174131050107,0.02381688631570346
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,7,-0.04476841205468933,0.02335324627558727
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,8,-0.040575346024670784,0.02259477605928993
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,9,0.008420033256458556,0.022895848709937845
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,10,0.0454342222671526,0.022795901216632684
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,11,0.040143093521730844,0.02407686476447973
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,280878.1237482576,12,-0.002665707163896379,0.024488960020070852
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,1,0.0022798900819958967,0.02444657158420366
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,2,0.024285046355843012,0.025650413039189073
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,3,0.015022806285060584,0.024359857343266924
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,4,0.043612030871652725,0.024585149060836847
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,5,0.038072858745910695,0.024094870872804892
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,6,-0.024560135115106813,0.023817067984257208
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,7,-0.04815054780184994,0.023353091385470027
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,8,-0.04967455826105422,0.022594800635433943
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,9,-0.0064147957680969645,0.022895780245247795
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,10,0.0248559386811125,0.02279590612021452
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,11,0.013825065965558919,0.024076796085201992
E. coli,AMP,Ampicillin,Penicillins,12,0.5235987755982988,280889.50720998325,12,-0.034605552613406435,0.024488973002655293
E. coli,CIP,Ciprofloxacin,Quinolones,6,1.0471975511965976,243857.06604879847,1,-0.03808049958041216,0.01836412383913019
