organism,drug_code,drug_name,drug_class,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,amplitude,NA,0.01251283740202055,-0.0017061365038454276,0.026731811307886526,0.007254711830433331,-1.7247876544909084,0.08457124592486737,0.21440749444065027
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,phase,NA,2.662074075755938,1.5812935166653783,3.7428546348464975,0.5514287852305548,-0.6128187959987863,0.5399986411108131,0.6230753551278612
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2013,9.317890433748294e-4,-0.024602176814623726,0.026465754901373387,0.013027772989405533,0.07152327908481214,0.9429815524921232,0.9808450565118835
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2014,-0.0070240120699374695,-0.021307260543587257,0.007259236403712317,0.007287505579854647,-0.9638431138021258,0.33512873507066565,0.6674606854353514
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2015,0.005437392856330712,-0.009458601992180687,0.02033338770484211,0.0076001370259908396,0.7154335293871669,0.47434417272993046,0.7795867974775896
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2016,7.443058023168049e-4,-0.014034849338079757,0.015523460942713369,0.0075405238346075015,0.09870743978034882,0.9213709136879995,0.972919486314953
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2017,-0.013689835867026965,-0.028288828457977495,9.091567239235647e-4,0.007448602477446282,-1.8379066285895365,0.06608144069406699,0.2853039979172416
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2018,-0.003721105117678447,-0.018400745990318032,0.010958535754961139,0.007489750316041889,-0.49682632406429017,0.619313473698711,0.8750668598531679
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,BWH_2019,-0.01806731863365869,-0.03030561456173534,-0.00582902270558204,0.006244143272330904,-2.8934823955303415,0.0038114202468596606,0.053164426007478345
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,MGH_2007,0.017785790894047138,0.0068454201501542584,0.028726161637940017,0.005581924377278935,3.1863188556340347,0.0014417444941177374,0.02376693953939543
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,MGH_2008,-0.0015680243533420495,-0.012407073941656273,0.009271025234972174,0.005530228960231548,-0.2835369682915257,0.7767662917257295,0.9469243513186105
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,176655.8880276777,slope,MGH_2009,-4.665977911458922e-4,-0.011170849850659711,0.010237654268367926,0.005461453447077393,-0.08543472825820465,0.9319160892793881,0.9749276010922829
