organism,drug_code,drug_name,drug_class,period,omega,AIC,month,seasonal_deviate,sem
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,1,-0.010102908407277969,0.013138762746702648
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,2,0.004882281649938129,0.013997855485031427
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,3,0.027220704710450974,0.013157604580124809
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,4,0.011016291364841039,0.013466884108060503
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,5,-0.008714675014713548,0.012774909629447585
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,6,-0.02092012433393047,0.012460923147660884
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,7,0.002212152608095392,0.012471346818518846
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,8,0.0021940497833305445,0.01245124530656969
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,9,0.003882897142973597,0.012498788107600984
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,10,-0.008315088082520699,0.012138463170259043
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,11,-0.006290285042237452,0.01282930837223948
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,12,0.006109789017494245,0.012967987486471006
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,1,-0.006414909630424977,0.013138730349031562
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,2,0.00784636907988766,0.013997863389667088
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,3,0.029464113731239173,0.013157632597701896
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,4,0.012538555919352367,0.013466872627677018
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,5,-0.007899778086343049,0.012774878397192942
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,6,-0.020827664828190845,0.012460930952346773
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,7,0.0015797233313837285,0.012471353142604813
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,8,8.378752304437052e-4,0.012451244500199948
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,9,0.0018041829522468518,0.012498753722452233
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,10,-0.011111720728793134,0.012138445462745884
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,11,-0.009810041927991226,0.012829342166938188
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,339249.81706543744,12,0.0018858852455612514,0.012968039853471156
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,1,-0.037673957851438414,0.01783699669035117
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,2,-0.005695830579792121,0.01882160725663059
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,3,0.02079026443537546,0.01763600576486481
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,4,0.019713123130478263,0.017792969905715352
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,5,0.017256686901973656,0.01739452205105116
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,522468.8523512691,6,-0.0046548836877370854,0.017282223363930482
