organism,drug_code,drug_name,drug_class,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,amplitude,NA,0.010107012169291966,-5.145069116442615e-4,0.020728531250228194,0.005419241968075649,-1.8650232318157451,0.06218091880658452,0.11658922276234598
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,phase,NA,2.8046907190708925,1.7826190625787974,3.8267623755629874,0.5214747130835393,-0.37453260154115947,0.708008858016549,0.8480642710767711
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2013,7.93579799883041e-4,-0.018445516802801546,0.020032676402567628,0.00981604598576307,0.08084515914391882,0.9355652469574722,0.9749951998943771
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2014,-0.007731444844064258,-0.018446468764895505,0.0029835790767669887,0.0054669493956776725,-1.4142155495671793,0.15730157137458733,0.42573161605858467
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2015,0.004034701133794006,-0.007243474774077246,0.015312877041665257,0.005754277117759341,0.7011655940833589,0.4832012235555796,0.7330972106074094
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2016,9.879212842859903e-4,-0.009934036774405805,0.011909879342977785,0.005572529977511224,0.17728415787315527,0.8592855338282193,0.9386572899649624
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2017,-0.006116846753491446,-0.016907301068670614,0.004673607561687723,0.005505434997935116,-1.1110560302293366,0.26654676168130464,0.5730589161791254
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2018,0.002592387448523291,-0.008059588872124799,0.013244363769171381,0.005434781661637421,0.4769993736495832,0.6333635545499612,0.8322458301332823
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,BWH_2019,-0.014485909651061418,-0.023929109272803298,-0.005042710029319537,0.004818047523438512,-3.006593351475124,0.002642550109890826,0.024365207792891686
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,MGH_2007,0.01772092046618757,0.009045246474250698,0.02639659445812444,0.004426445618577426,4.003419897855366,6.247595682190028e-5,0.0010174889593427669
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,MGH_2008,-0.004145518330340595,-0.01249615539505965,0.004205118734378461,0.0042606074043134564,-0.9729876369607899,0.33056167486350263,0.624717191167787
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,MGH_2009,-0.0012906903977145455,-0.009619045759275703,0.007037664963846611,0.004249238979519096,-0.3037462481953929,0.7613218189487737,0.8939595786302321
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,339247.44645766274,slope,MGH_2010,0.00430716546468569,-0.0038319308239629585,0.01244626175333434,0.00415267645367405,1.0372022749027214,0.29964397259123476,0.6082325413792228
