organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,1,-0.010984143423588359,0.013081567029381104
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,2,0.0066443149811013374,0.013886996555396111
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,3,0.026827655619626887,0.013086408534230837
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,4,0.011611756828548184,0.013416595634975832
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,5,-0.008583332168541617,0.01271095264854345
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,6,-0.02225741551900753,0.012408102482543973
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,7,0.002405898540826126,0.012391172513614582
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,8,0.0024794243100166144,0.012399488759786373
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,9,0.005473590457364442,0.012443269053018475
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,10,-0.008678218757272265,0.012074574338226398
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,11,-0.006531740708344092,0.012753853925624534
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,338158.55215689755,12,0.004888553941519361,0.012897094952920924
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,1,-0.008063981410688769,0.013081529749191235
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,2,0.008978738186368098,0.013887010738856455
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,3,0.028582922523796836,0.01308643385215649
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,4,0.012785408354595393,0.013416577135163744
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,5,-0.007952532547603383,0.012710913706851665
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,6,-0.022215175441242914,0.012408111580384677
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,7,0.001857923355157792,0.012391192732878968
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,8,0.0013418087622665228,0.01239948728198344
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,9,0.0037479889290398566,0.012443231955217024
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,10,-0.01098517168935864,0.012074557264856805
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,11,-0.009426724356915883,0.012753891008319524
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,338161.7577583569,12,0.0014255108440971826,0.012897150333576779
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,1,-0.03861753350342871,0.017780467107600388
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,2,-0.003349096973017566,0.01874371846364021
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,3,0.020196318898546322,0.017574526975017223
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,4,0.020825368621523333,0.01773034237435994
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,5,0.016757227414312383,0.017336877807506777
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,6,-0.005706923947602219,0.017213788346828
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,7,-0.028642603913740943,0.01675527608389563
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,8,-0.05168331962140594,0.016370238749803864
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,9,-0.009089346226238021,0.016563322970112506
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,10,0.03291898843366698,0.01628295651485659
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,11,0.034111653616870415,0.017169331948847004
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521502.28676865145,12,0.018385702959861132,0.017323511064956634
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,1,0.007346283899172875,0.017780436139273305
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,2,0.03416165778977966,0.018743794403313724
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,3,0.049223554663377626,0.017574492629542037
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,4,0.04136923994607821,0.017730350285812716
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,5,0.028824879851207554,0.01733686921068351
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,6,-0.0021048371185406773,0.017213795525970483
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,7,-0.03350944269543555,0.01675521886584786
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,8,-0.06502154119023755,0.016370278164993982
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,9,-0.030906037467074064,0.016563267686512277
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,10,0.002631947685960386,0.016282925448962416
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,11,-0.004662825419442153,0.017169399691238915
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521508.61039307463,12,-0.02878955777024497,0.017323557598680355
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,1,-0.034553354786437555,0.015573737304884216
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,2,-9.54722836709289e-4,0.01650169182534852
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,3,0.013578070433694482,0.015678629224071535
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,4,0.01741230111747073,0.015786326321738348
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,5,0.022353294636860557,0.015605353486535
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,6,-0.010926243429490024,0.015068735116130442
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,7,-0.003605474513854572,0.014765469416882239
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,8,-0.04203929295602983,0.014408061661451602
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,9,-0.027165042772796247,0.014475882954244535
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,490148.0651519891,10,0.011071121203938227,0.014471360020378745
