organism,drug_code,drug_name,drug_class,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,amplitude,NA,0.010998887695185955,4.326009839365312e-4,0.021565174406435378,0.005391061669803602,-2.0402081016421847,0.04133208519700108,0.07769732507112931
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,phase,NA,2.8053963001347966,1.8709360217960966,3.7398565784734967,0.4767742089699626,-0.4081674222387807,0.6831515911935302,0.8539394889919127
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,beta_age,,0.00200696837676398,0.0016900620561184508,0.0023238746974095087,1.6168986937782826e-4,12.412455922480852,2.3677141666141445e-35,1.0011633337663238e-34
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,beta_sex,,0.29286266661087595,0.2728936774772868,0.3128316557444651,0.010188446977139365,28.744583670896596,5.303425509482484e-181,5.0969863609655545e-180
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2013,2.2754547607559277e-4,-0.018912603425298782,0.019367694377449965,0.009765561537022838,0.02330080817297917,0.9814103710786422,0.9973057677272463
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2014,-0.008964089273163155,-0.019624301572114353,0.0016961230257880409,0.005438983768598604,-1.6481184086108833,0.09933134986256138,0.33355712546440364
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2015,0.0027717979895870585,-0.008448557387171807,0.013992153366345926,0.005724776304699271,0.4841757724772207,0.6282621334251302,0.82355325441752
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2016,5.833502061966342e-4,-0.010282388189052184,0.011449088601445452,0.0055438459486788425,0.10522482255042688,0.9161976143285527,0.9772774552837896
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2017,-0.007038248239743952,-0.01777327814415678,0.0036967816646688778,0.005477156717720009,-1.28501859677913,0.19878860346025531,0.5149571442018043
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2018,0.0023137358367534794,-0.008283444292157945,0.012910915965664904,0.005406823907225149,0.42792883150154565,0.668703808034653,0.8420714619695631
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,BWH_2019,-0.013366176550803277,-0.02276104432531001,-0.0039713087762965425,0.0047933879645811125,-2.788461240685601,0.005296855435931506,0.04433060549456522
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2007,0.018133144568525533,0.009502080028114162,0.026764209108936905,0.004403685276103086,4.117720370918954,3.8292914514430314e-5,6.509795467453154e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2008,-0.004336812122825315,-0.012644507922943417,0.0039708836772927875,0.004238698193256687,-1.0231471846060465,0.3062406036651321,0.6310335734997916
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2009,-0.001788416605599808,-0.010074074989674126,0.0064972417784745105,0.004227454407035302,-0.4230481120325123,0.6722610200966256,0.8426497579091343
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2010,0.004078321172922543,-0.004018928807244161,0.012175571153089246,0.004131325903963941,0.9871700436437268,0.32356154609483034,0.6419198621667619
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2011,0.02987219761461293,0.022077465582731524,0.03766692964649434,0.003976977175787546,7.511282135708373,5.900934260571586e-14,3.210108237750943e-12
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2012,-0.007485475522056272,-0.015288200449824159,3.1724940571161483e-4,0.003981055258828625,-1.8802742075624386,0.060073466191933864,0.25999806534152947
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2013,0.02348727502214522,0.015892903376928558,0.031081646667361885,0.0038747506102765677,6.061622381541808,1.3520975899744508e-9,4.597131805913133e-8
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2014,0.013319521400015076,0.005699000964186338,0.020940041835843814,0.003888092075129152,3.4257217017096067,6.134014299666441e-4,0.007415341731152319
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2015,-0.01200570563484538,-0.019660356732788806,-0.004351054536901952,0.003905505998233815,-3.074046139034152,0.0021123059647495824,0.022305875876631534
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,slope,MGH_2016,-0.004925449098989141,-0.012644859085657205,0.0027939608876789224,0.00393854685471661,-1.250575219916621,0.21109226653130647,0.5251840527342327
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2013,2.0181200105106893,1.8503339496231752,2.1859060713982035,0.08560670614918914,23.57432146721843,1.4688128390320506e-122,3.0038879114038927e-122
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2014,2.118053990303203,2.038091609764102,2.1980163708423044,0.040797882598779436,51.915782275587254,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2015,1.9429611568982796,1.8572623115092444,2.028660002287315,0.043724704160391155,44.43623334239383,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2016,1.9017767854593746,1.818578968695092,1.9849746022236572,0.04244864569988862,44.80182474854232,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2017,1.9782525305176015,1.8963587353861804,2.0601463256490224,0.04178331631468174,47.345512635206674,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2018,1.8785595916128381,1.7974322097504005,1.9596869734752758,0.041392281951280814,45.38429637254414,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,BWH_2019,2.0318343087087807,1.9586815517901959,2.1049870656273653,0.03732352099100005,54.438441357092856,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2007,1.6568292356951968,1.5910097909467515,1.722648680443642,0.03358196643796557,49.33687366866326,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2008,1.9263158784240133,1.8621671192101334,1.9904646376378932,0.03272956019594085,58.85553814019526,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2009,1.996874742034607,1.9329068277291082,2.0608426563401054,0.032637290690068536,61.18383909367367,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2010,1.9655346322824077,1.9033956022777325,2.027673662287083,0.03170416930863012,61.9960931052489,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2011,1.8761094220941636,1.8151741084288568,1.9370447357594704,0.03109001703396433,60.34443210644129,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2012,2.0566669935647837,1.995963445463355,2.117370541666212,0.030971767124421914,66.40457373008778,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2013,1.9397437145329082,1.8806421906332578,1.9988452384325586,0.030154392818355694,64.32706923391076,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2014,2.0295844014852324,1.970416469504851,2.088752333465614,0.030188275114793283,67.23088330709783,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2015,2.178986516921503,2.1188195873593725,2.2391534464836336,0.030697977124436834,70.98143659723237,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,338158.55215689755,intercept,MGH_2016,1.8975031169102663,1.8379442171918998,1.9570620166286328,0.030387752115936584,62.443023415185024,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,amplitude,NA,0.007535977056010701,-0.00830221624866739,0.023374170360688794,0.008080859357420719,0.9325712430683938,0.3510435185491999,0.42125222225903985
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,phase,NA,2.739709636386886,-0.22661407710192094,5.7060333498756926,1.5134582762167008,9.739092162641434,2.0989238843338235e-22,6.996412947779412e-22
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,beta_age,,0.0020054748778698425,0.001688558531321508,0.0023223912244181772,1.616949847283574e-4,12.4028267248918,2.66976889004353e-35,1.0011633337663238e-34
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,beta_sex,,0.2927765332485591,0.27280738342492045,0.3127456830721978,0.010188528963365024,28.73589841097749,6.795981814620739e-181,5.0969863609655545e-180
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2013,9.221257223735967e-4,-0.018662804789023886,0.02050705623377108,0.009992495099849242,0.09228182882846836,0.9264743002733062,0.9824600767030771
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2014,-0.00835112600200369,-0.0193149366129597,0.0026126846089523214,0.005593883712883069,-1.4929030402921168,0.13546555620205003,0.4005068618147566
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2015,0.0033210824674053782,-0.00819090373288844,0.014833068667699196,0.005873570275320822,0.5654282338903277,0.5717837261279486,0.7927560880693031
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2016,0.001176660570420735,-0.009994314453632289,0.012347635594473758,0.005699581784241063,0.20644682626962516,0.8364422944015052,0.9203884394642774
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2017,-0.00642198238499043,-0.017480468780159686,0.004636504010178824,0.005642188572033561,-1.1382076835967598,0.2550363528246652,0.5805011545465183
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2018,0.0027796790311805397,-0.008099954432271036,0.013659312494632115,0.005550935399460775,0.5007586705928088,0.6165420190802049,0.8160556164954537
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,BWH_2019,-0.01276304367360109,-0.022530126361949294,-0.002995960985252885,0.004983297022491081,-2.561164549493584,0.01043356946509202,0.08108373984300085
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2007,0.01878764120636944,0.009761603376538457,0.027813679036200422,0.004605205963490768,4.079652757187068,4.5136087594676503e-5,7.440615651970915e-4
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2008,-0.0037822022639566336,-0.012483004014803914,0.004918599486890648,0.004439266139315874,-0.8519881767078513,0.39422258608616745,0.6962892429573866
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2009,-0.0011997039783656284,-0.009903246470597052,0.007503838513865796,0.004440664502452013,-0.2701631653783313,0.7870352569607282,0.8901188768952935
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2010,0.0046684834579097945,-0.003848201436724801,0.01318516835254439,0.004345327241629501,1.0743686719804122,0.28265993212614837,0.6150680123064989
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2011,0.03043694482459936,0.022212671347378095,0.03866121830182063,0.004196135001506806,7.253566630642161,4.087061955122765e-13,1.8528014196556535e-11
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2012,-0.006901200016403551,-0.01513667770013868,0.0013342776673315798,0.004201851538444344,-1.6424188130546349,0.10050621567196949,0.33543178727332146
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2013,0.024063305964989488,0.016044391690767698,0.03208222023921128,0.004091357972633153,5.88149610128165,4.07793455080829e-9,1.304939056258653e-7
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2014,0.013895238657549163,0.005844513475262393,0.021945963839835936,0.004107588326004899,3.3828216351622262,7.177124286352906e-4,0.00848772959081735
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2015,-0.011425015759281306,-0.01952054100246243,-0.0033294905161001843,0.004130445919944241,-2.76604898858851,0.005674986599884408,0.046775647126319965
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,slope,MGH_2016,-0.004356216644009408,-0.01249895050847659,0.003786517220457775,0.004154532393807248,-1.0485455957697647,0.2943897057878794,0.6260085301837088
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2013,2.0133960220064377,1.8424536829117555,2.18433836110112,0.08721708176428421,23.08488178322578,1.2868693872572228e-117,2.5272813959131016e-117
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2014,2.114161662441109,2.0325376286004393,2.1957856962817783,0.04164568047398292,50.765448862382684,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2015,1.9399738791731005,1.8527820186465511,2.02716573969965,0.044486460574943085,43.60818671795587,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2016,1.8982957280744224,1.813515181546511,1.9830762746023338,0.04325617572396721,43.88496431557222,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2017,1.9747538419226918,1.8911744745921328,2.058333209253251,0.04264331793329997,46.30863491934373,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2018,1.8755183754946,1.7928731542805911,1.958163596708609,0.042166704013902274,44.47865725706817,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,BWH_2019,2.028536261535237,1.9534809280039658,2.103591595066508,0.0382942411816227,52.97235821736887,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2007,1.652939162390418,1.5850371679632318,1.720841156817604,0.03464451130877327,47.71142960160136,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2008,1.9230824936230346,1.8568837383507129,1.9892812488953564,0.03377549577160042,56.93720994141639,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2009,1.9935068921797006,1.9273307315249462,2.0596830528344547,0.03376396769366351,59.04243571924228,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2010,1.9621167752990731,1.8977864264225819,2.026447124175564,0.03282220968544359,59.78015478248735,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2011,1.8726802571237429,1.8095055997612322,1.9358549144862536,0.03223256032295719,58.09902280055465,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2012,2.0532811755512586,1.990342230567481,2.116220120535036,0.03211229669536376,63.94065161485951,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2013,1.936329193027277,1.8750546428680535,1.9976037431865006,0.031263100058240616,61.9365702511924,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2014,2.026073436729081,1.964640139349727,2.0875067341084352,0.0313440950262006,64.63971714721646,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2015,2.1757494113605973,2.1133405254050124,2.238158297316182,0.03184185344621547,68.32986072986256,0,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,12,0.5235987755982988,338161.7577583569,intercept,MGH_2016,1.894179968132397,1.8324072289804638,1.9559527072843301,0.03151728278641271,60.099723093800115,0,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,amplitude,NA,0.033631008129268926,0.01892186074140246,0.04834015551713539,0.007504804937177596,4.481263458649847,7.426556123827401e-6,3.7132780619137e-5
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,phase,NA,4.48906713034463,4.091184353191004,4.886949907498256,0.2030051471823321,229.0043763697764,0,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,beta_age,,0.0019282600561902796,0.0014933578506676746,0.0023631622617128847,2.218929577038447e-4,8.69004621031679,3.663862449455601e-18,8.455067191051386e-18
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,beta_sex,,0.39281306205447025,0.3657177878366436,0.4199083362722969,0.013824373524998788,28.414528972625156,4.668702412596255e-177,2.8012214475577534e-176
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2007,-0.017735975406406757,-0.03635676704686898,8.848162340554661e-4,0.009500578473553931,-1.866831104629797,0.061927423801151744,0.260439546846799
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2008,-0.003110915704088981,-0.020592740264691985,0.014370908856514025,0.00891946214241558,-0.3487783965465073,0.7272562473863691,0.8613183445497598
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2009,-0.005422794949650509,-0.022337501803700054,0.011491911904399035,0.008630111056871758,-0.6283574931903788,0.5297708787524458,0.7692660901454541
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2010,0.0011787840400036352,-0.015315334676409484,0.017672902756416753,0.008415521329226775,0.14007261034557236,0.8886028377267878,0.9553358571608154
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2011,-0.0034196662788500308,-0.019391259144544367,0.012551926586844304,0.00814892160859905,-0.4196464812278314,0.674744419890206,0.8438183090121196
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,521502.28676865145,slope,BWH_2012,0.005877464661814825,-0.009511832438571902,0.02126676176220155,0.007851826473228867,0.7485474471263837,0.4541313697931748,0.7223610092616581
