organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,1,-0.01020573510930557,0.013067300439833961
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,2,0.005973545302425829,0.01388307873395623
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,3,0.026410555790794907,0.013074859428425938
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,4,0.011658724592939016,0.01340465401981129
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,5,-0.00875299695406346,0.01268897061169919
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,6,-0.021861960376488205,0.012391722570325512
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,7,0.0021900968253692975,0.012387869702005243
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,8,0.0023251558778189137,0.012384360566276377
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,9,0.006427661367245974,0.012430055544934598
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,10,-0.00858445678646026,0.012061457310272585
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,11,-0.007119991616051574,0.012753685609135671
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,337936.8512737398,12,0.004053088314388208,0.012891893345917008
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,1,-0.008081730355713376,0.01306726918561758
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,2,0.0076609594870598085,0.01388307768422398
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,3,0.02766585183777289,0.013074873609392254
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,4,0.012480131262626768,0.01340463528265513
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,5,-0.008306843208486661,0.012688919299118457
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,6,-0.021862095416191364,0.012391737529165083
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,7,0.0017440614776713934,0.012387878686514154
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,8,0.0014312529871760066,0.012384352832922193
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,9,0.005088816356443252,0.01243002687590944
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,10,-0.010360181305409345,0.01206144598917671
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,11,-0.009338796360986074,0.012753699669702717
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,337940.43332818843,12,0.0014093520531949612,0.012891928970884986
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,1,-0.03773021046640954,0.017768459914744305
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,2,-0.00337495007452574,0.018735484881250725
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,3,0.020007633819525337,0.017565780263725357
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,4,0.02145279739442251,0.017725209580513757
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,5,0.016334619449309345,0.017331680946485573
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,6,-0.004991099726123957,0.017204141773182205
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,7,-0.02814500686442181,0.016753009679614742
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,8,-0.05154026569224486,0.01636569574176765
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,9,-0.008258810250534637,0.016557216393749134
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,10,0.03313189220809702,0.016270214316826483
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,11,0.03416482448816958,0.017171781673365145
E. coli,AMP,Ampicillin,Penicillins,1.0471975511965976,6,521334.8174976915,12,0.01791665748436485,0.017312569242889073
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,1,0.0074488290513656874,0.0177684377630944
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,2,0.03349815756373217,0.018735537173004083
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,3,0.0485423007697701,0.017565733416653274
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,4,0.04164870845810189,0.017725209109151967
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,5,0.02820149523530533,0.017331635404628228
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,6,-0.001445255147314461,0.017204148432398453
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,7,-0.0329222988963646,0.016752924332937062
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,8,-0.06464398780145855,0.01636570334700086
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,9,-0.029695801968470586,0.016557146136486393
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,10,0.003370868418974108,0.016270180514519526
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,11,-0.003937578326890113,0.017171820815712377
E. coli,AMP,Ampicillin,Penicillins,0.5235987755982988,12,521341.70533136337,12,-0.028441704881664642,0.017312592179161656
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,1,-0.03341066769900139,0.015540792151522629
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,2,-9.283921825746763e-4,0.016484346846439398
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,3,0.013079828686784015,0.01566614356564274
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,4,0.01828892570374071,0.015773071840100912
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,5,0.021529764235351065,0.015586314242431908
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,6,-0.009782696620239232,0.015040466871078033
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,7,-0.002865485434892382,0.01475011986817311
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,8,-0.04213495333396136,0.014379018530397802
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,9,-0.02599472928692899,0.01445201257434981
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,10,0.011359698143295145,0.014427410326859277
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,11,0.0266657448984078,0.01543854449462974
E. coli,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,489624.3676901639,12,0.03436738614056024,0.015429582152048319
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,1,0.01593710804171139,0.015540753888914917
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,2,0.039368075762623744,0.01648435537384894
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,3,0.04429312572222841,0.015666071623125076
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,4,0.04041352827876476,0.015773089941794077
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,5,0.03456921769908321,0.015586271165198735
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,6,-0.005821672714030637,0.015040481932784146
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,7,-0.007981018990565232,0.014750098121519306
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,8,-0.05632889461732322,0.01437902789379938
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,9,-0.049271393228310006,0.014451955546243915
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,10,-0.020993753649265555,0.014427379108979541
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,11,-0.014784858205768213,0.015438546543592085
E. coli,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,489617.4794496037,12,-0.01609772828290036,0.01542956544935013
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,1,0.004496760326309931,0.007153888518467755
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,2,-0.004331353835970071,0.0074496768070405695
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,3,0.0026119593030066437,0.00706272696785993
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,4,-0.00886444860102517,0.006986261244583251
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,5,0.020157709318967494,0.007270136346469466
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,6,-0.005957924315302505,0.006905973876130431
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,7,-0.018151186138411653,0.006612535466544095
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,8,-0.017667698908075426,0.0064342897201690764
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,9,-0.022253672812297388,0.006482389717744244
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,10,-0.004675792623685221,0.006730166733396943
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,11,0.01729039705238453,0.0071817888978242365
E. coli,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,199782.57159203486,12,0.04170656610522506,0.007175108729233742
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199760.66509713026,1,0.03273344743770754,0.0071538257622096
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199760.66509713026,2,0.018493686506199602,0.007449584488878665
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199760.66509713026,3,0.02012968343428012,0.007062811658948015
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199760.66509713026,4,0.003313743843443185,0.006986456541512917
E. coli,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,199760.66509713026,5,0.026966976029697446,0.007270704839815351
