organism,drug_code,drug_name,drug_class,period,month,seasonal_deviate,sem
S. aureus,CIP,Ciprofloxacin,Quinolones,12,1,0.05053231115770046,0.029837801717868727
S. aureus,CIP,Ciprofloxacin,Quinolones,12,2,0.063974046093249,0.03151255310294872
S. aureus,CIP,Ciprofloxacin,Quinolones,12,3,0.08567736291699656,0.029838380658581184
S. aureus,CIP,Ciprofloxacin,Quinolones,12,4,-0.004806850010028412,0.030159961947774146
S. aureus,CIP,Ciprofloxacin,Quinolones,12,5,0.002666413482407758,0.02885994938237654
S. aureus,CIP,Ciprofloxacin,Quinolones,12,6,-0.057980535503863936,0.02807432445945934
S. aureus,CIP,Ciprofloxacin,Quinolones,12,7,-0.0333625181171457,0.027098501472622022
S. aureus,CIP,Ciprofloxacin,Quinolones,12,8,-0.06583015469957726,0.02648029813359963
S. aureus,CIP,Ciprofloxacin,Quinolones,12,9,-0.04597240390547097,0.027113481406872277
S. aureus,CIP,Ciprofloxacin,Quinolones,12,10,-0.03257539436032646,0.027477186025799658
S. aureus,CIP,Ciprofloxacin,Quinolones,12,11,-0.014400464784508507,0.028513760781497203
S. aureus,CIP,Ciprofloxacin,Quinolones,12,12,0.04792169624574311,0.028842387804613574
S. aureus,ERY,Erythromycin,Macrolides,12,1,0.01734198049792852,0.03990993096855302
S. aureus,ERY,Erythromycin,Macrolides,12,2,0.048147172780436086,0.041999388961291205
S. aureus,ERY,Erythromycin,Macrolides,12,3,0.08956417899847015,0.03965546011558114
S. aureus,ERY,Erythromycin,Macrolides,12,4,0.019389480271739257,0.04087216454659985
S. aureus,ERY,Erythromycin,Macrolides,12,5,-0.017824235342561195,0.039031209068191165
S. aureus,ERY,Erythromycin,Macrolides,12,6,-0.11540732505303022,0.03854641584160096
S. aureus,ERY,Erythromycin,Macrolides,12,7,-0.005836834183046207,0.03711557688283213
S. aureus,ERY,Erythromycin,Macrolides,12,8,-0.05531524921878572,0.03665501435841495
S. aureus,ERY,Erythromycin,Macrolides,12,9,0.005203161013222653,0.0372571389473665
S. aureus,ERY,Erythromycin,Macrolides,12,10,-0.020420858493702086,0.03768753485981023
S. aureus,ERY,Erythromycin,Macrolides,12,11,3.877372557575814e-4,0.03907690834923919
S. aureus,ERY,Erythromycin,Macrolides,12,12,0.03137933815445127,0.03897967520833798
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,1,0.015514527813808729,0.00963962512232545
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,2,0.029950558497063597,0.010255774489969012
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,3,0.03604159958944186,0.009661380535144759
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,4,0.04465021852499779,0.00982346546971629
S. aureus,NIT,Nitrofurantoin,Nitrofurans,12,5,-0.011858799965353268,0.009769712482333017
