drug_class,omega,period,AIC,month,seasonal_deviate,sem
Macrolides,1.0471975511965976,6,104.42031175888714,1,0.3367649710697763,0.1642161423512495
Macrolides,1.0471975511965976,6,104.42031175888714,2,0.06298551919734523,0.2215716228815158
Macrolides,1.0471975511965976,6,104.42031175888714,3,0.12907770772547522,0.09785996955759689
Macrolides,1.0471975511965976,6,104.42031175888714,4,0.031061291389579006,0.12446004377551861
Macrolides,1.0471975511965976,6,104.42031175888714,5,-0.14019752611813557,0.06788896026688916
Macrolides,1.0471975511965976,6,104.42031175888714,6,-0.28639009892766343,0.13702821923086964
Macrolides,1.0471975511965976,6,104.42031175888714,7,-0.6599836276726847,0.1812125104392935
Macrolides,1.0471975511965976,6,104.42031175888714,8,-0.4939862476316236,0.12032478140645157
Macrolides,1.0471975511965976,6,104.42031175888714,9,-0.38823019828403266,0.08784642432281434
Macrolides,1.0471975511965976,6,104.42031175888714,10,0.1125288189735334,0.03311795468046836
Macrolides,1.0471975511965976,6,104.42031175888714,11,0.4873764383864332,0.14745924274573746
Macrolides,1.0471975511965976,6,104.42031175888714,12,1.0464951302843373,0.13442591399329945
Macrolides,0.5235987755982988,12,36.87347503267757,1,0.9100923061389883,0.13682536889664917
Macrolides,0.5235987755982988,12,36.87347503267757,2,0.5212284369417726,0.19359166457868354
Macrolides,0.5235987755982988,12,36.87347503267757,3,0.4722362081451177,0.10561979612082434
Macrolides,0.5235987755982988,12,36.87347503267757,4,0.25913537448443674,0.1246582158949125
Macrolides,0.5235987755982988,12,36.87347503267757,5,-0.02720786034806233,0.06895636969925698
Macrolides,0.5235987755982988,12,36.87347503267757,6,-0.2884848504823748,0.10664235974880172
Macrolides,0.5235987755982988,12,36.87347503267757,7,-0.7771627965521809,0.14900259538231347
Macrolides,0.5235987755982988,12,36.87347503267757,8,-0.7262498338359046,0.06980164637895768
Macrolides,0.5235987755982988,12,36.87347503267757,9,-0.7355782018130982,0.07326615393864251
Macrolides,0.5235987755982988,12,36.87347503267757,10,-0.2062582865840451,0.033117951420352704
Macrolides,0.5235987755982988,12,36.87347503267757,11,0.07750730266564776,0.1474592450878262
Macrolides,0.5235987755982988,12,36.87347503267757,12,0.5455439644003451,0.13442590780235997
Nitrofurans,1.0471975511965976,6,-201.01435922770548,1,0.01900979664455239,0.014274927748459117
Nitrofurans,1.0471975511965976,6,-201.01435922770548,2,-0.007953414415041082,0.0055597330333660745
